rxns_subSystems1	rxns_subSystems2
10FTHF5GLUtl	Transport, lysosomal
10FTHF5GLUtm	Transport, mitochondrial
10FTHF6GLUtl	Transport, lysosomal
10FTHF6GLUtm	Transport, mitochondrial
10FTHF7GLUtl	Transport, lysosomal
10FTHF7GLUtm	Transport, mitochondrial
10FTHFtl	Transport, lysosomal
10FTHFtm	Transport, mitochondrial
11DOCRTSLtm	Transport, mitochondrial
11DOCRTSLtr	Transport, endoplasmic reticular
11DOCRTSTRNtm	Transport, mitochondrial
11DOCRTSTRNtr	Transport, endoplasmic reticular
13DAMPPOX	Beta-Alanine metabolism
1a_24_25VITD2Hm	Vitamin D metabolism
1a_25VITD2Hm	Vitamin D metabolism
1MNCAMti	Transport, extracellular
1PPDCRp	Lysine metabolism
24_25DHVITD2t	Transport, extracellular
24_25DHVITD2tm	Transport, mitochondrial
24_25DHVITD3t	Transport, extracellular
24_25DHVITD3tm	Transport, mitochondrial
24_25VITD2Hm	Vitamin D metabolism
24_25VITD3Hm	Vitamin D metabolism
24NPHte	Transport, extracellular
25HVITD2t	Transport, extracellular
25HVITD2tin_m	Transport, mitochondrial
25HVITD3t	Transport, extracellular
25HVITD3tin_m	Transport, mitochondrial
25VITD2Hm	Vitamin D metabolism
25VITD3Hm	Vitamin D metabolism
2AMACHYD	Glycine, serine, alanine, and threonine metabolism
2AMACSULT	Methionine and cysteine metabolism
2AMADPTm	Lysine metabolism
2DR1PP	Pyrimidine catabolism
2HBO	Propanoate metabolism
2HBt2	Transport, extracellular
2HCO3_NAt	Transport, extracellular
2MCITt	Transport, extracellular
2OXOADOXm	Lysine metabolism
2OXOADPTm	Tryptophan metabolism
34DHOXPEGOX	Tyrosine metabolism
34DHOXPEGt	Transport, extracellular
34DHPHAMT	Tyrosine metabolism
34DHPHEt	Transport, extracellular
34DHPLACOX	Tyrosine metabolism
34DHPLACOX_NADP_	Tyrosine metabolism
34DHXMANDACOX	Tyrosine metabolism
34DHXMANDACOX_NADP_	Tyrosine metabolism
34HPLFM	Ubiquinone synthesis
34HPPOR	Tyrosine metabolism
35CGMPtn	Transport, nuclear
3AIBTm	Valine, leucine, and isoleucine metabolism
3AIBtmi	Transport, mitochondrial
3DPHBH1	Ubiquinone synthesis
3DPHBH2	Ubiquinone synthesis
3DSPHR	Sphingolipid metabolism
3HAO	Tryptophan metabolism
3HBCDm	Butanoate metabolism
3HBCOAHLm	Valine, leucine, and isoleucine metabolism
3HKYNAKGAT	Tryptophan metabolism
3HLYTCL	Tyrosine metabolism
3M4HDXPAC	Tyrosine metabolism
3MLDAt	Transport, extracellular
3MOBt2im	Transport, mitochondrial
3MOPt2im	Transport, mitochondrial
3MOX4HOXPGALDOX	Tyrosine metabolism
3MOX4HOXPGALDOX_NADP_	Tyrosine metabolism
3MOXTYROX	Tyrosine metabolism
3SALAASPm	Transport, mitochondrial
3SALACBOXL	Taurine and hypotaurine metabolism
3SALAOX	Taurine and hypotaurine metabolism
3SALATAi	Methionine and cysteine metabolism
3SALATAim	Methionine and cysteine metabolism
3SPYRSP	Methionine and cysteine metabolism
3SPYRSPm	Methionine and cysteine metabolism
41R1H2MAE12BOOX	Tyrosine metabolism
41R2A1H12BOOX	Tyrosine metabolism
42A12BOOX	Tyrosine metabolism
4ABUTtm	Transport, mitochondrial
4HBZCOAFm	Ubiquinone synthesis
4HBZFm	Ubiquinone synthesis
4HDEBRISOQUINEte	Transport, extracellular
4HGLSDm	Arginine and proline metabolism
4HOXPACDOX_NADP_	Tyrosine metabolism
4MOPt2im	Transport, mitochondrial
4MPTNLte	Transport, extracellular
4MPTNLtm	Transport, mitochondrial
4MTOLBUTAMIDEte	Transport, extracellular
4NPHSFte	Transport, extracellular
4NPHSULT	Cytochrome metabolism
4NPHte	Transport, extracellular
4PYRDX	Transport, extracellular
5ADTSTSTERONEGLCte	Transport, extracellular
5ADTSTSTERONEGLCtr	Transport, endoplasmic reticular
5ADTSTSTERONESte	Transport, extracellular
5ADTSTSTERONESULT	Steroid metabolism
5ADTSTSTERONEte	Transport, extracellular
5ADTSTSTERONEtr	Transport, endoplasmic reticular
5AOPtm	Heme synthesis
5DHFtl	Transport, lysosomal
5FTHFt2	Transport, extracellular
5HLTDL	Tryptophan metabolism
5HOMEPRAZOLEte	Transport, extracellular
5HOXINDACTO2OX	Tryptophan metabolism
5HOXINOXDA	Tryptophan metabolism
5HTRPVESSEC	Transport, extracellular
5MTHFt	Transport, extracellular
5MTHFt2	Transport, extracellular
5THFtl	Transport, lysosomal
5THFtm	Transport, mitochondrial
6DHFtl	Transport, lysosomal
6DHFtm	Transport, mitochondrial
6HTSTSTERONEte	Transport, extracellular
6HTSTSTERONEtr	Transport, endoplasmic reticular
6THFtl	Transport, lysosomal
6THFtm	Transport, mitochondrial
7DHCHSTEROLtr	Transport, endoplasmic reticular
7DHFtl	Transport, lysosomal
7DHFtm	Transport, mitochondrial
7THFtl	Transport, lysosomal
7THFtm	Transport, mitochondrial
A_MANASEly	N-glycan degradation
A4GALTc	Sphingolipid metabolism
A4GALTg	Sphingolipid metabolism
A4GNT1g	O-glycan metabolism
A4GNT2g	O-glycan metabolism
AACTOOR	Glycine, serine, alanine, and threonine metabolism
AACTtm	Transport, mitochondrial
AASAD3m	Lysine metabolism
AATAi	Lysine metabolism
ABO1g	Blood group synthesis
ABO2g	Blood group synthesis
ABO3g	Blood group synthesis
ABO4g	Blood group synthesis
ABO5g	Blood group synthesis
ABO6g	Blood group synthesis
ABO7g	Blood group synthesis
ABO8g	Blood group synthesis
ABO9g	Blood group synthesis
ABTArm	Glutamate metabolism
ABTD	Pentose phosphate pathway
ABTti	Transport, extracellular
ABUTt2rL	Transport, lysosomal
ABUTt4_2_r	Transport, extracellular
ACACT10m	Valine, leucine, and isoleucine metabolism
ACACT1rm	Tryptophan metabolism
ACACT1x	Cholesterol metabolism
ACACt2m	Transport, mitochondrial
ACACT4p	Fatty acid oxidation
ACACT5p	Fatty acid oxidation
ACACT6p	Fatty acid oxidation
ACACT7p	Fatty acid oxidation
ACACT8p	Fatty acid oxidation
ACACT9p	Fatty acid oxidation
ACACtx	Transport, peroxisomal
ACALDtm	Transport, mitochondrial
ACALDtr	Transport, endoplasmic reticular
ACALDtx	Transport, peroxisomal
ACCOACm	Fatty acid oxidation
ACCOAgt	Transport, extracellular
ACCOALm	Propanoate metabolism
ACCOAtn	Transport, nuclear
ACCOAtr	Transport, endoplasmic reticular
ACETONEt2	Transport, extracellular
ACETONEt2m	Transport, mitochondrial
ACGAGBSIDEtg	Transport, golgi apparatus
ACGAGBSIDEtl	Transport, lysosomal
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	Transport, extracellular
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	Transport, extracellular
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
ACGALK	Aminosugar metabolism
ACGALK2	Aminosugar metabolism
ACGALtlg	Transport, golgi apparatus
ACGALtly	Transport, lysosomal
ACGAM6PSi	Aminosugar metabolism
ACGAMK	Aminosugar metabolism
ACGAMPM	Aminosugar metabolism
ACGAMtly	Transport, lysosomal
ACGBGBSIDEtg	Transport, golgi apparatus
ACGBGBSIDEtl	Transport, lysosomal
ACGPID	Phosphatidylinositol phosphate metabolism
ACGSm	Urea cycle
ACHEe	Glycerophospholipid metabolism
ACHtn	Transport, nuclear
ACHVESSEC	Transport, extracellular
ACITL	Citric acid cycle
ACN13ACNGALGBSIDEte	Transport, extracellular
ACN13ACNGALGBSIDEtg	Transport, golgi apparatus
ACN23ACNGALGBSIDEte	Transport, extracellular
ACN23ACNGALGBSIDEtg	Transport, golgi apparatus
ACNACNGAL14ACGLCGALGLUSIDEte	Transport, extracellular
ACNACNGAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
ACNACNGALGBSIDEte	Transport, extracellular
ACNACNGALGBSIDEtg	Transport, golgi apparatus
ACNAM9PL	Aminosugar metabolism
ACNAM9PL2	Aminosugar metabolism
ACNAMlt	Transport, lysosomal
ACNAMPH	Aminosugar metabolism
ACNAMtn	Transport, nuclear
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	Transport, extracellular
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	Transport, golgi apparatus
ACNMLr	Aminosugar metabolism
ACOAD10m	Valine, leucine, and isoleucine metabolism
ACOAD1fm	Butanoate metabolism
ACOAD8m	Valine, leucine, and isoleucine metabolism
ACOAD9m	Valine, leucine, and isoleucine metabolism
ACOAHi	Pyruvate metabolism
ACOAO7p	Fatty acid oxidation
ACODA	Urea cycle
ACONTm	Citric acid cycle
ACOX22x	Bile acid synthesis
ACOX2x	Bile acid synthesis
ACP1_FMN_	Vitamin B2 metabolism
ACRNtm	Transport, mitochondrial
ACS2	Propanoate metabolism
ACSm	Glycolysis/gluconeogenesis
ACSRTNMT	Tryptophan metabolism
ACt2m	Transport, mitochondrial
ACt2r	Transport, extracellular
ACtg	Transport, golgi apparatus
ACTLMO	Pyruvate metabolism
ACTNMO	Pyruvate metabolism
ADA	Purine catabolism
ADAe	Purine catabolism
ADCim	Propanoate metabolism
ADEt	Transport, extracellular
ADK1m	Nucleotide interconversion
ADK3	Nucleotide interconversion
ADK3m	Nucleotide interconversion
ADKd	Nucleotide interconversion
ADMDC	Arginine and proline metabolism
ADNCYC	Nucleotide interconversion
ADNK1m	Nucleotide interconversion
ADNt	Transport, extracellular
ADNt4	Transport, extracellular
ADNtl	Transport, lysosomal
ADNtm	Transport, mitochondrial
ADPMAN	Nucleotide interconversion
ADPRIBt	Transport, extracellular
ADPtx	Transport, peroxisomal
ADRNCOAtx	Transport, peroxisomal
ADRNCPT1	Fatty acid oxidation
ADRNCPT2	Fatty acid oxidation
ADRNCRNt	Fatty acid oxidation
ADRNLPVESSEC	Transport, extracellular
ADRNt	Transport, extracellular
ADSK	Nucleotide interconversion
ADSL1	Nucleotide interconversion
ADSL2	Purine synthesis
AFLATOXINte	Transport, extracellular
AG13T16g	Keratan sulfate synthesis
AG13T17g	Keratan sulfate synthesis
AG13T18g	Keratan sulfate synthesis
AG13T1g	Keratan sulfate synthesis
AG13T2g	Keratan sulfate synthesis
AG13T3g	Keratan sulfate synthesis
AGMTm	Arginine and proline metabolism
AGPAT1	Triacylglycerol synthesis
AGTim	Alanine and aspartate metabolism
AGTix	Alanine and aspartate metabolism
AHANDROSTANGLCte	Transport, extracellular
AHANDROSTANGLCtr	Transport, endoplasmic reticular
AHCYStr	Transport, endoplasmic reticular
AHEXASE2ly	N-glycan degradation
AHEXASEly	N-glycan degradation
AIRCr	Purine synthesis
AKGDm	Citric acid cycle
AKGMALtm	Transport, mitochondrial
AKGt4_3	Transport, extracellular
AKGtp	Transport, peroxisomal
AKR1C1	Steroid metabolism
AKR1C41	Bile acid synthesis
AKR1C42	Bile acid synthesis
AKR1D	Bile acid synthesis
AKR1D2	Bile acid synthesis
ALAASNNaEx	Transport, extracellular
ALACYSNaEx	Transport, extracellular
ALADGLNexR	Transport, extracellular
ALADGLYexR	Transport, extracellular
ALAGLNexR	Transport, extracellular
ALAGLNNaEx	Transport, extracellular
ALAGLYexR	Transport, extracellular
ALASERNaEx	Transport, extracellular
ALASm	Glycine, serine, alanine, and threonine metabolism
ALAt4	Transport, extracellular
ALATA_L	Glutamate metabolism
ALATHRNaEx	Transport, extracellular
ALAtN1	Transport, extracellular
ALCD21_D	Pyruvate metabolism
ALCD21_L	Pyruvate metabolism
ALCD22_D	Pyruvate metabolism
ALCD22_L	Pyruvate metabolism
ALCD2if	Glycolysis/gluconeogenesis
ALCD2yf	Glycolysis/gluconeogenesis
ALDD20x	Tryptophan metabolism
ALDD20xm	Tryptophan metabolism
ALDD21	Fatty acid oxidation
ALDD2xm	Glycolysis/gluconeogenesis
ALDD2y	Glycolysis/gluconeogenesis
ALDSTRNte	Transport, extracellular
ALDSTRNtm	Transport, mitochondrial
ALOX12	Eicosanoid metabolism
ALOX15	Eicosanoid metabolism
ALOX5	Eicosanoid metabolism
ALOX52	Eicosanoid metabolism
ALR2	Pyruvate metabolism
ALR3	Pyruvate metabolism
AMACR2p	Bile acid synthesis
AMACRp	Bile acid synthesis
AMCOXO	Tryptophan metabolism
AMETr	Transport, endoplasmic reticular
AMETt2m	Transport, mitochondrial
AMPDA	Nucleotide interconversion
AMPTASECGe	Glutathione metabolism
AMPtp	Transport, peroxisomal
AMY1e	Starch and sucrose metabolism
AMY2e	Starch and sucrose metabolism
ANDRSTRNGLCte	Transport, extracellular
